1,0,1,2,4,7,14,32,57,114,222,452,910,1811,3631,7221,14439,28962,57977,116121
1,0,1,1,2,4,7,15,30,59,121,233,467,928,1865,3745,7612,15148,29748,59613
0,1,0,1,2,3,5,10,21,40,82,162,319,642,1283,2583,5094,10186,20557,41028
1,0,1,0,2,2,4,10,20,37,62,123,245,490,978,1955,3947,7985,16040,31777
0,9,0,1,1,2,5,8,16,32,62,131,251,483,949,1890,3770,7547,15086,30205
0,1,0,1,1,2,4,7,15,35,58,114,228,455,909,1817,3635,7272,14638,29078
0,10,1,1,1,2,3,7,14,27,55,111,221,441,879,1758,3526,7112,14109,28083
0,1,0,1,1,2,4,7,13,27,54,107,213,425,849,1699,3396,6792,13583,27172
1,0,1,0,1,2,4,7,14,27,53,107,212,425,850,1698,3397,6792,13583,27183
1,0,1,0,2,2,3,8,13,28,54,109,216,434,859,1706,3399,6821,13657,27477
0,1,1,0,1,2,4,7,14,28,55,107,214,425,850,1700,3403,6810,13588,27184
1,10,0,1,1,2,4,7,14,27,54,107,214,426,851,1711,3409,6885,14893,28237
1,0,1,0,1,2,4,7,14,26,56,122,217,430,902,1710,3455,7014,13978,27365
1,0,0,1,1,2,4,7,14,27,53,107,213,427,851,1704,3415,6810,13586,27201
0,1,0,1,1,2,3,7,13,27,54,107,214,425,851,1701,3408,6836,13591,27198
1,0,1,0,1,3,3,8,15,28,54,107,213,426,849,1700,3397,6796,13589,29666
1,15,1,2,2,2,4,8,16,29,56,116,238,490,1033,2061,4099,8418,16857,33389
1,0,0,1,1,3,4,8,15,29,57,114,226,519,997,1706,3554,8338,15521,30723
1,1,0,1,1,2,3,7,15,29,55,107,213,429,855,1702,3424,6803,13609,27604
1,13,1,1,1,2,3,7,14,28,55,107,215,430,857,1874,3678,7099,13988,28484
